Suburb (Internal),Suburb (Datawrapper),Date Start,Date End,Price,Rent,Yield,Direct or Calculated,Direct Tool tip,Calculated Tool Tip,Consolidated Tool Tip
Brooklyn,Brooklyn,2000-01-01,2026-06-01,999600,650,3.38%,direct,Brooklyn has a gross yield of 3.38%.,,Brooklyn has a gross yield of 3.38%.
Brown Owl,Brown Owl,2000-01-01,2026-06-01,741750,560,3.93%,direct,Brown Owl has a gross yield of 3.93%.,,Brown Owl has a gross yield of 3.93%.
Camborne,Camborne,2000-01-01,2026-06-01,897150,690,4.00%,direct,Camborne has a gross yield of 4.00%.,,Camborne has a gross yield of 4.00%.
Cannons Creek,Cannons Creek,2000-01-01,2026-06-01,543150,550,5.27%,direct,Cannons Creek has a gross yield of 5.27%.,,Cannons Creek has a gross yield of 5.27%.
Cape Palliser,Cape Palliser,2000-01-01,2026-06-01,N/A,N/A,,calculated,,"The exact yield data for Cape Palliser was not available. However, the surrounding suburbs (which had data) produce an average yield of .","The exact yield data for Cape Palliser was not available. However, the surrounding suburbs (which had data) produce an average yield of ."
Carterton,Carterton,2000-01-01,2026-06-01,607700,500,4.28%,direct,Carterton has a gross yield of 4.28%.,,Carterton has a gross yield of 4.28%.
Castlepoint,Castlepoint,2000-01-01,2026-06-01,N/A,N/A,,calculated,,"The exact yield data for Castlepoint was not available. However, the surrounding suburbs (which had data) produce an average yield of .","The exact yield data for Castlepoint was not available. However, the surrounding suburbs (which had data) produce an average yield of ."
Churton Park,Churton Park,2000-01-01,2026-06-01,1034850,750,3.77%,direct,Churton Park has a gross yield of 3.77%.,,Churton Park has a gross yield of 3.77%.
Clouston Park,Clouston Park,2000-01-01,2026-06-01,655600,510,4.05%,direct,Clouston Park has a gross yield of 4.05%.,,Clouston Park has a gross yield of 4.05%.
Crofton Downs,Crofton Downs,2000-01-01,2026-06-01,983150,600,3.17%,direct,Crofton Downs has a gross yield of 3.17%.,,Crofton Downs has a gross yield of 3.17%.
Days Bay,Days Bay,2000-01-01,2026-06-01,1107800,650,3.05%,direct,Days Bay has a gross yield of 3.05%.,,Days Bay has a gross yield of 3.05%.
Eastbourne,Eastbourne,2000-01-01,2026-06-01,1075400,750,3.63%,direct,Eastbourne has a gross yield of 3.63%.,,Eastbourne has a gross yield of 3.63%.
Ebdentown,Ebdentown,2000-01-01,2026-06-01,669600,580,4.50%,direct,Ebdentown has a gross yield of 4.50%.,,Ebdentown has a gross yield of 4.50%.
Elderslea,Elderslea,2000-01-01,2026-06-01,732400,645,4.58%,direct,Elderslea has a gross yield of 4.58%.,,Elderslea has a gross yield of 4.58%.
Elsdon,Elsdon,2000-01-01,2026-06-01,647550,269,2.16%,direct,Elsdon has a gross yield of 2.16%.,,Elsdon has a gross yield of 2.16%.
Epuni,Epuni,2000-01-01,2026-06-01,748450,595,4.13%,direct,Epuni has a gross yield of 4.13%.,,Epuni has a gross yield of 4.13%.
Fairfield,Fairfield,2000-01-01,2026-06-01,720850,600,4.33%,direct,Fairfield has a gross yield of 4.33%.,,Fairfield has a gross yield of 4.33%.
Featherston,Featherston,2000-01-01,2026-06-01,523150,550,5.47%,direct,Featherston has a gross yield of 5.47%.,,Featherston has a gross yield of 5.47%.
Glenside,Glenside,2000-01-01,2026-06-01,N/A,N/A,3.91%,calculated,,"The exact yield data for Glenside was not available. However, the surrounding suburbs (which had data) produce an average yield of 3.91%.","The exact yield data for Glenside was not available. However, the surrounding suburbs (which had data) produce an average yield of 3.91%."
Gracefield,Gracefield,2000-01-01,2026-06-01,N/A,N/A,4.74%,calculated,,"The exact yield data for Gracefield was not available. However, the surrounding suburbs (which had data) produce an average yield of 4.74%.","The exact yield data for Gracefield was not available. However, the surrounding suburbs (which had data) produce an average yield of 4.74%."
Grenada North,Grenada North,2000-01-01,2026-06-01,N/A,N/A,3.92%,calculated,,"The exact yield data for Grenada North was not available. However, the surrounding suburbs (which had data) produce an average yield of 3.92%.","The exact yield data for Grenada North was not available. However, the surrounding suburbs (which had data) produce an average yield of 3.92%."
Grenada Village,Grenada Village,2000-01-01,2026-06-01,980550,695,3.69%,direct,Grenada Village has a gross yield of 3.69%.,,Grenada Village has a gross yield of 3.69%.
Greytown,Greytown,2000-01-01,2026-06-01,874950,575,3.42%,direct,Greytown has a gross yield of 3.42%.,,Greytown has a gross yield of 3.42%.
Harbour View,Harbour View,2000-01-01,2026-06-01,840300,750,4.64%,direct,Harbour View has a gross yield of 4.64%.,,Harbour View has a gross yield of 4.64%.
Hataitai,Hataitai,2000-01-01,2026-06-01,1050500,650,3.22%,direct,Hataitai has a gross yield of 3.22%.,,Hataitai has a gross yield of 3.22%.
Heretaunga,Heretaunga,2000-01-01,2026-06-01,882600,600,3.54%,direct,Heretaunga has a gross yield of 3.54%.,,Heretaunga has a gross yield of 3.54%.
Highbury,Highbury,2000-01-01,2026-06-01,N/A,N/A,3.33%,calculated,,"The exact yield data for Highbury was not available. However, the surrounding suburbs (which had data) produce an average yield of 3.33%.","The exact yield data for Highbury was not available. However, the surrounding suburbs (which had data) produce an average yield of 3.33%."
Hongoeka,Hongoeka,2000-01-01,2026-06-01,N/A,N/A,3.63%,calculated,,"The exact yield data for Hongoeka was not available. However, the surrounding suburbs (which had data) produce an average yield of 3.63%.","The exact yield data for Hongoeka was not available. However, the surrounding suburbs (which had data) produce an average yield of 3.63%."
Horokiwi,Horokiwi,2000-01-01,2026-06-01,N/A,N/A,3.79%,calculated,,"The exact yield data for Horokiwi was not available. However, the surrounding suburbs (which had data) produce an average yield of 3.79%.","The exact yield data for Horokiwi was not available. However, the surrounding suburbs (which had data) produce an average yield of 3.79%."
Houghton Bay,Houghton Bay,2000-01-01,2026-06-01,996600,675,3.52%,direct,Houghton Bay has a gross yield of 3.52%.,,Houghton Bay has a gross yield of 3.52%.
Hutt Central,Hutt Central,2000-01-01,2026-06-01,911250,455,2.60%,direct,Hutt Central has a gross yield of 2.60%.,,Hutt Central has a gross yield of 2.60%.
Island Bay,Island Bay,2000-01-01,2026-06-01,1075600,688,3.33%,direct,Island Bay has a gross yield of 3.33%.,,Island Bay has a gross yield of 3.33%.
Johnsonville,Johnsonville,2000-01-01,2026-06-01,809100,640,4.11%,direct,Johnsonville has a gross yield of 4.11%.,,Johnsonville has a gross yield of 4.11%.
Kaiwharawhara,Kaiwharawhara,2000-01-01,2026-06-01,N/A,N/A,3.54%,calculated,,"The exact yield data for Kaiwharawhara was not available. However, the surrounding suburbs (which had data) produce an average yield of 3.54%.","The exact yield data for Kaiwharawhara was not available. However, the surrounding suburbs (which had data) produce an average yield of 3.54%."
Karaka Bays,Karaka Bays,2000-01-01,2026-06-01,1431300,870,3.16%,direct,Karaka Bays has a gross yield of 3.16%.,,Karaka Bays has a gross yield of 3.16%.
Karori,Karori,2000-01-01,2026-06-01,1016000,671,3.43%,direct,Karori has a gross yield of 3.43%.,,Karori has a gross yield of 3.43%.
Kelburn,Kelburn,2000-01-01,2026-06-01,1332600,665,2.59%,direct,Kelburn has a gross yield of 2.59%.,,Kelburn has a gross yield of 2.59%.
Kelson,Kelson,2000-01-01,2026-06-01,770850,660,4.45%,direct,Kelson has a gross yield of 4.45%.,,Kelson has a gross yield of 4.45%.
Kenepuru,Kenepuru,2000-01-01,2026-06-01,N/A,N/A,3.64%,calculated,,"The exact yield data for Kenepuru was not available. However, the surrounding suburbs (which had data) produce an average yield of 3.64%.","The exact yield data for Kenepuru was not available. However, the surrounding suburbs (which had data) produce an average yield of 3.64%."
Khandallah,Khandallah,2000-01-01,2026-06-01,1191900,700,3.05%,direct,Khandallah has a gross yield of 3.05%.,,Khandallah has a gross yield of 3.05%.
Kilbirnie,Kilbirnie,2000-01-01,2026-06-01,823550,650,4.10%,direct,Kilbirnie has a gross yield of 4.10%.,,Kilbirnie has a gross yield of 4.10%.
Kingston,Kingston,2000-01-01,2026-06-01,805050,780,5.04%,direct,Kingston has a gross yield of 5.04%.,,Kingston has a gross yield of 5.04%.
Korokoro,Korokoro,2000-01-01,2026-06-01,936000,595,3.31%,direct,Korokoro has a gross yield of 3.31%.,,Korokoro has a gross yield of 3.31%.
Kuripuni,Kuripuni,2000-01-01,2026-06-01,519500,535,5.36%,direct,Kuripuni has a gross yield of 5.36%.,,Kuripuni has a gross yield of 5.36%.
Lansdowne,Lansdowne,2000-01-01,2026-06-01,591150,545,4.79%,direct,Lansdowne has a gross yield of 4.79%.,,Lansdowne has a gross yield of 4.79%.
Lowry Bay,Lowry Bay,2000-01-01,2026-06-01,N/A,N/A,5.06%,calculated,,"The exact yield data for Lowry Bay was not available. However, the surrounding suburbs (which had data) produce an average yield of 5.06%.","The exact yield data for Lowry Bay was not available. However, the surrounding suburbs (which had data) produce an average yield of 5.06%."
Lyall Bay,Lyall Bay,2000-01-01,2026-06-01,912300,670,3.82%,direct,Lyall Bay has a gross yield of 3.82%.,,Lyall Bay has a gross yield of 3.82%.
Mahina Bay,Mahina Bay,2000-01-01,2026-06-01,N/A,N/A,5.06%,calculated,,"The exact yield data for Mahina Bay was not available. However, the surrounding suburbs (which had data) produce an average yield of 5.06%.","The exact yield data for Mahina Bay was not available. However, the surrounding suburbs (which had data) produce an average yield of 5.06%."
Manor Park,Manor Park,2000-01-01,2026-06-01,N/A,N/A,4.94%,calculated,,"The exact yield data for Manor Park was not available. However, the surrounding suburbs (which had data) produce an average yield of 4.94%.","The exact yield data for Manor Park was not available. However, the surrounding suburbs (which had data) produce an average yield of 4.94%."
Maoribank,Maoribank,2000-01-01,2026-06-01,613200,645,5.47%,direct,Maoribank has a gross yield of 5.47%.,,Maoribank has a gross yield of 5.47%.
Martinborough,Martinborough,2000-01-01,2026-06-01,852650,570,3.48%,direct,Martinborough has a gross yield of 3.48%.,,Martinborough has a gross yield of 3.48%.
Masterton,Masterton,2000-01-01,2026-06-01,518350,500,5.02%,direct,Masterton has a gross yield of 5.02%.,,Masterton has a gross yield of 5.02%.
Maungaraki,Maungaraki,2000-01-01,2026-06-01,794450,598,3.91%,direct,Maungaraki has a gross yield of 3.91%.,,Maungaraki has a gross yield of 3.91%.
Maupuia,Maupuia,2000-01-01,2026-06-01,829950,600,3.76%,direct,Maupuia has a gross yield of 3.76%.,,Maupuia has a gross yield of 3.76%.
