Suburb (Internal),Suburb (Datawrapper),2000-01-01,End Date,Price,Rent,Yield,Direct or Calculated,Direct Tool tip,Calculated Tool Tip,Consolidated Tool Tip
Burnside,Burnside,2000-01-01,6/1/2026,932650,650,3.62%,direct,Burnside has a gross yield of 3.62%.,,Burnside has a gross yield of 3.62%.
Burwood,Burwood,2000-01-01,6/1/2026,718100,583,4.22%,direct,Burwood has a gross yield of 4.22%.,,Burwood has a gross yield of 4.22%.
Casebrook,Casebrook,2000-01-01,6/1/2026,885450,630,3.70%,direct,Casebrook has a gross yield of 3.70%.,,Casebrook has a gross yield of 3.70%.
Cashmere,Cashmere,2000-01-01,6/1/2026,1144850,695,3.16%,direct,Cashmere has a gross yield of 3.16%.,,Cashmere has a gross yield of 3.16%.
Cass Bay,Cass Bay,2000-01-01,6/1/2026,N/A,N/A,3.82%,calculated,,"The exact yield data for Cass Bay was not available. However, the surrounding suburbs (which had data) produce an average yield of 3.82%.","The exact yield data for Cass Bay was not available. However, the surrounding suburbs (which had data) produce an average yield of 3.82%."
Christchurch Airport,Christchurch Airport,2000-01-01,6/1/2026,N/A,N/A,3.63%,calculated,,"The exact yield data for Christchurch Airport was not available. However, the surrounding suburbs (which had data) produce an average yield of 3.63%.","The exact yield data for Christchurch Airport was not available. However, the surrounding suburbs (which had data) produce an average yield of 3.63%."
Christchurch Central,Christchurch Central,2000-01-01,6/1/2026,657600,500,3.95%,direct,Christchurch Central has a gross yield of 3.95%.,,Christchurch Central has a gross yield of 3.95%.
Clifton,Clifton,2000-01-01,6/1/2026,1431550,760,2.76%,direct,Clifton has a gross yield of 2.76%.,,Clifton has a gross yield of 2.76%.
Cracroft,Cracroft,2000-01-01,6/1/2026,1244350,680,2.84%,direct,Cracroft has a gross yield of 2.84%.,,Cracroft has a gross yield of 2.84%.
Dallington,Dallington,2000-01-01,6/1/2026,610800,530,4.51%,direct,Dallington has a gross yield of 4.51%.,,Dallington has a gross yield of 4.51%.
Edgeware,Edgeware,2000-01-01,6/1/2026,561950,519,4.80%,direct,Edgeware has a gross yield of 4.80%.,,Edgeware has a gross yield of 4.80%.
Fendalton,Fendalton,2000-01-01,6/1/2026,1764000,770,2.27%,direct,Fendalton has a gross yield of 2.27%.,,Fendalton has a gross yield of 2.27%.
Ferrymead,Ferrymead,2000-01-01,6/1/2026,N/A,N/A,3.82%,calculated,,"The exact yield data for Ferrymead was not available. However, the surrounding suburbs (which had data) produce an average yield of 3.82%.","The exact yield data for Ferrymead was not available. However, the surrounding suburbs (which had data) produce an average yield of 3.82%."
