Suburb (Internal),Suburb (Datawrapper),Date Start,Date End,Capital growth rate,Direct or Calculated,Direct Tool tip,Calculated Tool Tip,Consolidated Tool Tip
Porirua City Centre,Porirua City Centre,2000-01-01,2026-06-01,7.09%,calculated,,"The exact capital growth data for Porirua City Centre was not available. However, between January 2000 and June 2026 the surrounding suburbs (which had data) increased by an average of 7.09%.","The exact capital growth data for Porirua City Centre was not available. However, between January 2000 and June 2026 the surrounding suburbs (which had data) increased by an average of 7.09%."
Pukerua Bay,Pukerua Bay,2000-01-01,2026-06-01,5.65%,direct,"Between January 2000 and June 2026, Pukerua Bay achieved a capital growth of 5.65%.",,"Between January 2000 and June 2026, Pukerua Bay achieved a capital growth of 5.65%."
Ranui,Ranui,2000-01-01,2026-06-01,7.05%,direct,"Between January 2000 and June 2026, Ranui achieved a capital growth of 7.05%.",,"Between January 2000 and June 2026, Ranui achieved a capital growth of 7.05%."
Raumati Beach,Raumati Beach,2000-01-01,2026-06-01,5.63%,direct,"Between January 2000 and June 2026, Raumati Beach achieved a capital growth of 5.63%.",,"Between January 2000 and June 2026, Raumati Beach achieved a capital growth of 5.63%."
Raumati South,Raumati South,2000-01-01,2026-06-01,5.77%,direct,"Between January 2000 and June 2026, Raumati South achieved a capital growth of 5.77%.",,"Between January 2000 and June 2026, Raumati South achieved a capital growth of 5.77%."
Remutaka Forest Park,Remutaka Forest Park,2000-01-01,2026-06-01,7.04%,calculated,,"The exact capital growth data for Remutaka Forest Park was not available. However, between January 2000 and June 2026 the surrounding suburbs (which had data) increased by an average of 7.04%.","The exact capital growth data for Remutaka Forest Park was not available. However, between January 2000 and June 2026 the surrounding suburbs (which had data) increased by an average of 7.04%."
Riversdale Beach,Riversdale Beach,2000-01-01,2026-06-01,,calculated,,"The exact capital growth data for Riversdale Beach was not available. However, between January 2000 and June 2026 the surrounding suburbs (which had data) increased by an average of .","The exact capital growth data for Riversdale Beach was not available. However, between January 2000 and June 2026 the surrounding suburbs (which had data) increased by an average of ."
Riverstone Terraces,Riverstone Terraces,2000-01-01,2026-06-01,,calculated,,"The exact capital growth data for Riverstone Terraces was not available. However, between January 2000 and June 2026 the surrounding suburbs (which had data) increased by an average of .","The exact capital growth data for Riverstone Terraces was not available. However, between January 2000 and June 2026 the surrounding suburbs (which had data) increased by an average of ."
Rongotai,Rongotai,2000-01-01,2026-06-01,5.55%,direct,"Between January 2000 and June 2026, Rongotai achieved a capital growth of 5.55%.",,"Between January 2000 and June 2026, Rongotai achieved a capital growth of 5.55%."
Roseneath,Roseneath,2000-01-01,2026-06-01,4.25%,direct,"Between January 2000 and June 2026, Roseneath achieved a capital growth of 4.25%.",,"Between January 2000 and June 2026, Roseneath achieved a capital growth of 4.25%."
Seatoun,Seatoun,2000-01-01,2026-06-01,4.90%,direct,"Between January 2000 and June 2026, Seatoun achieved a capital growth of 4.90%.",,"Between January 2000 and June 2026, Seatoun achieved a capital growth of 4.90%."
Seaview,Seaview,2000-01-01,2026-06-01,5.43%,calculated,,"The exact capital growth data for Seaview was not available. However, between January 2000 and June 2026 the surrounding suburbs (which had data) increased by an average of 5.43%.","The exact capital growth data for Seaview was not available. However, between January 2000 and June 2026 the surrounding suburbs (which had data) increased by an average of 5.43%."
Silverstream,Silverstream,2000-01-01,2026-06-01,5.47%,direct,"Between January 2000 and June 2026, Silverstream achieved a capital growth of 5.47%.",,"Between January 2000 and June 2026, Silverstream achieved a capital growth of 5.47%."
Solway,Solway,2000-01-01,2026-06-01,6.86%,direct,"Between January 2000 and June 2026, Solway achieved a capital growth of 6.86%.",,"Between January 2000 and June 2026, Solway achieved a capital growth of 6.86%."
Southgate,Southgate,2000-01-01,2026-06-01,5.41%,direct,"Between January 2000 and June 2026, Southgate achieved a capital growth of 5.41%.",,"Between January 2000 and June 2026, Southgate achieved a capital growth of 5.41%."
Stokes Valley,Stokes Valley,2000-01-01,2026-06-01,6.10%,direct,"Between January 2000 and June 2026, Stokes Valley achieved a capital growth of 6.10%.",,"Between January 2000 and June 2026, Stokes Valley achieved a capital growth of 6.10%."
Strathmore Park,Strathmore Park,2000-01-01,2026-06-01,5.09%,direct,"Between January 2000 and June 2026, Strathmore Park achieved a capital growth of 5.09%.",,"Between January 2000 and June 2026, Strathmore Park achieved a capital growth of 5.09%."
Sunshine Bay,Sunshine Bay,2000-01-01,2026-06-01,7.04%,calculated,,"The exact capital growth data for Sunshine Bay was not available. However, between January 2000 and June 2026 the surrounding suburbs (which had data) increased by an average of 7.04%.","The exact capital growth data for Sunshine Bay was not available. However, between January 2000 and June 2026 the surrounding suburbs (which had data) increased by an average of 7.04%."
Taita,Taita,2000-01-01,2026-06-01,6.23%,direct,"Between January 2000 and June 2026, Taita achieved a capital growth of 6.23%.",,"Between January 2000 and June 2026, Taita achieved a capital growth of 6.23%."
Takapu Valley,Takapu Valley,2000-01-01,2026-06-01,6.06%,calculated,,"The exact capital growth data for Takapu Valley was not available. However, between January 2000 and June 2026 the surrounding suburbs (which had data) increased by an average of 6.06%.","The exact capital growth data for Takapu Valley was not available. However, between January 2000 and June 2026 the surrounding suburbs (which had data) increased by an average of 6.06%."
Takapuwahia,Takapuwahia,2000-01-01,2026-06-01,7.12%,direct,"Between January 2000 and June 2026, Takapuwahia achieved a capital growth of 7.12%.",,"Between January 2000 and June 2026, Takapuwahia achieved a capital growth of 7.12%."
Tawa,Tawa,2000-01-01,2026-06-01,5.46%,direct,"Between January 2000 and June 2026, Tawa achieved a capital growth of 5.46%.",,"Between January 2000 and June 2026, Tawa achieved a capital growth of 5.46%."
Te Aro,Te Aro,2000-01-01,2026-06-01,3.10%,direct,"Between January 2000 and June 2026, Te Aro achieved a capital growth of 3.10%.",,"Between January 2000 and June 2026, Te Aro achieved a capital growth of 3.10%."
Te Horo Beach,Te Horo Beach,2000-01-01,2026-06-01,6.17%,direct,"Between January 2000 and June 2026, Te Horo Beach achieved a capital growth of 6.17%.",,"Between January 2000 and June 2026, Te Horo Beach achieved a capital growth of 6.17%."
Te Marua,Te Marua,2000-01-01,2026-06-01,6.03%,direct,"Between January 2000 and June 2026, Te Marua achieved a capital growth of 6.03%.",,"Between January 2000 and June 2026, Te Marua achieved a capital growth of 6.03%."
