Census Year,Subject population,Disability status,Tenure of household,Grouping variable,Category,Value,Value Unit,Value Label,Null Reason
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,"Dwelling owned or partly owned, mortgage payments not made",Sex,Total,15.8,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,"Dwelling not owned and not held in a family trust, rental arrangements not further defined",Sex,Total,0.1,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,"Dwelling not owned and not held in a family trust, rental arrangements not further defined",Sex,Total,0.2,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,"Dwelling not owned and not held in a family trust, rental arrangements not further defined",Sex,Total,0.1,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,"Dwelling not owned and not held in a family trust, rent payments made",Sex,Total,29.6,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,"Dwelling not owned and not held in a family trust, rent payments made",Sex,Total,34.6,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,"Dwelling not owned and not held in a family trust, rent payments made",Sex,Total,32,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,"Dwelling not owned and not held in a family trust, rent payments not made",Sex,Total,2.9,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,"Dwelling not owned and not held in a family trust, rent payments not made",Sex,Total,4.2,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,"Dwelling not owned and not held in a family trust, rent payments not made",Sex,Total,3,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,"Dwelling held in a family trust, mortgage arrangements not further defined",Sex,Total,0.8,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,"Dwelling held in a family trust, mortgage arrangements not further defined",Sex,Total,1.3,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,"Dwelling held in a family trust, mortgage arrangements not further defined",Sex,Total,1,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,"Dwelling held in a family trust, mortgage payments made",Sex,Total,7,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,"Dwelling held in a family trust, mortgage payments made",Sex,Total,3.9,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,"Dwelling held in a family trust, mortgage payments made",Sex,Total,6.5,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,"Dwelling held in a family trust, mortgage payments not made",Sex,Total,6.2,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,"Dwelling held in a family trust, mortgage payments not made",Sex,Total,6.6,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,"Dwelling held in a family trust, mortgage payments not made",Sex,Total,5.9,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,Total stated,Sex,Total,100,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,Total stated,Sex,Total,100,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,Total stated,Sex,Total,100,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,"Dwelling owned or partly owned, mortgage arrangements not further defined",Age group,5-14,1.2,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,"Dwelling owned or partly owned, mortgage arrangements not further defined",Age group,5-14,1.3,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,"Dwelling owned or partly owned, mortgage arrangements not further defined",Age group,5-14,2.1,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,"Dwelling owned or partly owned, mortgage arrangements not further defined",Age group,15-29,1.8,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,"Dwelling owned or partly owned, mortgage arrangements not further defined",Age group,15-29,2.2,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,"Dwelling owned or partly owned, mortgage arrangements not further defined",Age group,15-29,2.6,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,"Dwelling owned or partly owned, mortgage arrangements not further defined",Age group,30-64,1.8,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,"Dwelling owned or partly owned, mortgage arrangements not further defined",Age group,30-64,2.9,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,"Dwelling owned or partly owned, mortgage arrangements not further defined",Age group,30-64,2.6,percentage,% of people where information available,
